доц. Панюшкина О.В. 477",,,,Ин.яз. преп. Гавриш О.А.  308П,,,,,,АиСД ст.преп. Соломатин Д.И.  384,Web-техн. ст.преп. Ермаков М.В. 383,МЛ и ТА ст.преп. Пашкевич А.А. 305П,,,,,Математический анализ преп. Щеглаков Д.А. 227,,,,,Линейная алгебра проф. Вахитова Е.В. 380,,АиСД ст. преп. Соломатин Д.И. 316П,,,,,,,,,,,,,,Урмат асс. Некипелов Е.А. 314П,,,,,,,,,,,,,Ин.яз. преп. Гафарова М.Х. 309П,,"Основы матем. теории колебаний
асс. Толкачев А.В. 381",,,,,,,,,,,,,,,,,,,,,Архитектура ИС асс. Попова Е.В. 303П,,,,,,,,,,,,,,,,,,,
,15:10-16:45,,,,,,,,,,,,,,,,,,,,,,,,,,Программирование ст.преп. Соломатин Д.И. 385,,Математический анализ  асс. Прошунин А.С.  305П,Математический анализ доц. Канищева О.И. 477,,,,,,,,,,,,Физическая культура и спорт,,Философия ст.преп. Вяткина А.Г. 291,,Физическая культура и спорт,,Электротехника доц. Зуев С.А. 307П,,"Организационное и правовое обеспечение информационной безопасности
доц. Филиппова Н.В. 479",,"Организационное и правовое обеспечение информационной безопасности
доц. Филиппова Н.В. 479","Модели безопасности компьютерных систем
доц. Нестеровский О.И.  380",,СиАКОД ст.преп. Коротков В.В. 316П,,Програмирование в среде MATLAB доц. Иванков А.Ю.  290,Дифференциальные уравнения доц. Каверина В.К. 292,,,,,,,,,,,,,,,,Квантовая теория доц. Стадная Н.П. 505П,,,,,,,,,,,Архитектура ИС асс. Попова Е.В. 387,,МС асс. Швырева А.В. 383,МС асс. Швырева А.В. 383,,,,,Безопасность компьютерных сетей ст.преп. Коваль А.С. 293,,,,,ЛОИ доц. Вахтин А.А. 301П,,Квантовая теория информации доц. Борзунов С.В. 381,ИБ асс. Паринов П.А. 303П
,,,,,,,,,,,,,,,,,,,,,,,,,,,Философия Философия преп. Соколова А.Ю. 505П,,,,,,,,,,,ЯиСП доц. Михайлюк Е.А. 290,,,,,,,,,,,Электротехника доц. Зуев С.А. 307П,,,,,,ВССиТ ст.преп. Коваль А.С. 316П,,СиАКОД ст.преп. Коротков В.В. 293,,,,,,,,,,,,,,,,,Квантовая теория доц. Стадная Н.П. 385,,,,,,,,,,,,Разработка ERP асс. Соломатин А.И. 314П,,,,,,,,,,,,,,ИБ асс. Паринов П.А. 303П,Алгоритмы коррекции ошибок проф. Клинских А.Ф. 301П
,16:55-18:30,,,,,,,,,,,,,,,,,,,,,,,,,,Математический анализ доц. Канищева О.И. 477,,,,,,,,,,,,,,,,,Физическая культура и спорт,,,,Физическая культура и спорт,,,,,Физическая культура и спорт,,Физическая культура и спорт,,,Физическая культура и спорт,,,,,,,,,,,,,,,,ТЗИ доц. Нестеровский О.И. 301П,,,,,,,,,,,Архитектура ИС асс. Попова Е.В. 303П,,Функциональное программирование асс. Строгонов А.И. 382,,,,,,Безопасность компьютерных сетей ст.преп. Коваль А.С.  291,,,Разработка ERP асс. Соломатин А.И. 314П,,,,Алгоритмы коррекции ошибок проф. Клинских А.Ф. 385,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Учебно лабораторный практикум ст.преп. Фролова О.А.  20,ТЗИ доц. Нестеровский О.И. 301П,,,,,,,,,,Разработка ERP асс. Соломатин А.И. 314П,,,Функциональное программирование асс. Строгонов А.И. 382,,,,,,,,,,,,Алгоритмы коррекции ошибок проф. Клинских А.Ф. 380,
,18:40-20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,Правовые основы прикладной информатики проф. Артемов М.А. 505П,,,,,,,,,,,,,,,,,,,ЯиСП доц. Михайлов Е.М. 385,,,,,,,,,ВССиТ ст.преп. Коваль А.С. 291,,,,,,,,,,,,,,,,,ТЗИ доц. Нестеровский О.И. 301П,,,,,,,,,,,,,,,,,,,,,,Разработка ERP асс. Соломатин А.И. 314П,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ВССиТ ст.преп. Коваль А.С. 291,,,,,,,,,,,,,,,,,,ТЗИ доц. Нестеровский О.И. 301П,,,,,,,,,,,,,,,,,,,,,,,,,,
,20:10-21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вторник,8:00 - 9:35,,,,,,,,,,,,,,,Алгебра и геометрия доц. Атанов А.В. 479,,,,,,Ин.яз. доц. Вострикова И.Ю. 309П,Экономика доц. Павлова Е.А. 477,,,,,,"СПЭД и ОП
ст.преп. Копытина Е.А. 303П",Ин.яз. преп. Гафарова М.Х. 308П,,Экономика и финансовая грамотность доц. Дайнеко В.Г.  292,,Основы ОС Unix  (id=2207) проф. Савинков А.Ю.  (ДО),,,,,,,,Основы ОС Unix  (id=2207) проф. Савинков А.Ю. (ДО),,,,,,,,,,,Разработка приложений на С++  (id=5119) доц. Дрюченко М.А. (ДО),,,,,,,,,,,,"Программирование в 1С
асс. Ситников А.В. (ДО)","Программирование в 1С
асс. Ситников А.В. (ДО)",,,,,,,,УЦ,,"Программирование в 1С
асс. Ситников А.В. (ДО)","Программирование в 1С
асс. Ситников А.В. (ДО)",,,,,,,,,,,,МС асс. Швырева А.В. 291,,,,,Параллельные алгоритмы обработки данных доц. Фертиков В.В. 383,,Управление проектами асс. Сафонов В.Г. 314П,,,,,
